start time 0:hr:min:sec,end time 0:hr:min:sec,Annotations,Layer,Index
5:49,,"[The Freedom Singers perform ""We Shall Not Be Moved""]",Music,
9:16,,"Rev. Fred Shuttlesworth: ""We're going to march. We're going to walk together. We're going to stand together. We're going to sing together. We're going to stay together. We're going to moan together. We're going to groan together, and after a while, we will have freedom, freedom, freedom now! And we all shall be free and [inaudible].""",Speeches,
9:16,,"[Joan Baez sings ""All My Trials""]",Music,
10:36,,"Ossie Davis: ""I give you Mr. Burt Lancaster.""",Introduction,
10:51,,"Burt Lancaster: ""All Americans traveling no matter where in the world today are in the position of ambassadors, and are very often made bitterly aware of our country's reputation. It is not easy to be an American abroad. Nor is it easy to make coherent to those who are not Americans the nature and the meaning of our struggle, and we are therefore forever indebted to those Americans represented by the March on Washington Movement for giving us so stunningly an example of what America aspires to become and for helping us to redefine in the middle of this dangerous century what is meant by the American Revolution. We recognize that it is not only in America that the battle for freedom and dignity of peoples is being waived. The struggle toward freedom on the part of the previously-subjugated is occurring in capitals and villages all over the world. It is on our awareness of what this struggle means, and in the degree of our dedication to it, that our future, and the future of the world, depends.""",Speeches,
12:19,,"""One hundred-fifty members of the Congress of the United States arrived at the rally to add their support, and the support of the people of the states they represent, to the spirit of the March in Washington.""",Narration,
12:19,,"[The Eva Jessye Choir, with soloist Louis Andrew Fryerson, sings ""Freedom Is a Thing Worth Thinking About""]",Music,
13:33,,"A. Philip Randolph: ""The acknowledged champion of civil rights in America: Mr. Roy Wilkins, Executive Secretary, National Association for the Advancement of Colored People, [inaudible].""",Introduction,
13:54,,"Roy Wilkins: ""I want some of you to help me win a bet. I want everyone out here in the open to keep quiet. And I want to hear a yell and a thunder from all those people who are out there under the trees. Let's hear you! Yeah! Yeah! There's one of them in the tree!""",Speeches,
14:42,,"Dr. Benjamin E. Mays: ""Let us bow our heads in prayer. God of history and of all mankind; God of Abraham and Moses, Amos and Isaiah, Jesus and Paul; God of our weary years; God of our silent tears; pour out thy benediction upon the United States of America. Pour it out upon President Kennedy...""",Speeches,
15:41,,"""As the freedom marchers remained at the monument grounds to close their demonstration in prayer, their leaders moved on to the White House to meet with President Kennedy. The President's active concern with the progress with the Negro in housing, education, and employment is well-known. The members of the overall policy committee of the March in Washington reported the conference was friendly and cooperative. Chairman A. Philip Randolph reports first.""",Narration,
16:24,,"A. Philip Randolph: ""...is not going — we believe that it's going to have its effect on the image of our country all over the world because it will indicate that not only are Negros struggling to achieve a transition from second-class- to first-class citizenship, but that our white brothers and sisters are marching arm in arm with the Negro citizens of the country for the purpose of achieving this objective. And consequently, this is, and has been, a great American experience.""",Speeches,
17:05,,"""The Reverend Dr. Eugene Carson Blake, United Presbyterian Church of the United States of America, was another of the march leaders.""",Introduction,
17:14,,"Rev. Dr. Eugene Carson Blake: ""...was right. The thing we wanted to do was to get in behind the leadership of the Negro community. Clearly the religious leader of this occasion was Martin Luther King, and we are proud to have served behind and strengthening the witness that he's been carrying. The other thing is that we did produce a non-segregated march...""",Speeches,
17:37,,"""Mr. Walter Reuther of the United Auto Workers of America was also a member of the committee that met with President Kennedy.""",Introduction,
17:44,,"Walter Reuther: ""...and I believe that the real significance of what we have started here today is that we have laid the groundwork for the building of a functioning, broad coalition of Americans from all walks of life, of all points of view, from all races and creeds and color, who can carry on — not only the common struggle to achieve an effective and meaningful civil rights legislation, but who can do this practical work, the day-to-day job of fighting discrimination in education, in housing, in employment, in public accommodation, and I think this is the true significance of what we have started today.""",Speeches,
18:23,,"A. Philip Randolph: ""...pleasure now to present the moral leader of our nation, one who has conducted a massive, moral campaign in the Southern area of the nation, against the citadel of racism, Dr. Martin Luther King, Jr.""",Introduction,
18:42,,"Martin Luther King, Jr.: ""Thank you, Mr. Randolph. I would simply like to say that I think this has been one of the great days of America, and I think this march will go down as one of the greatest, if not the greatest, uh, demonstrations for freedom and human dignity ever held in the United States.""",Speeches,
19:10,," ""The slumbering conscience of America stood aroused, tall and awakened, as twilight fell over the March in Washington of August 28th. It admitted a lingering sense of shame; it admitted pain had been overlooked. In so doing, America reminded herself of her destiny; her aspirations; the dream which brought forth her birth. And America turned her eyes full upon the issues of freedom and justice — issues for all. She turned her attention to the Civil Rights Bill before the Congress, which is currently under examination of the elected representatives of all the towns and cities of the land. She turned her thoughts to the job ahead. The sound and spirit of the massive reminder of the meaning of freedom traveled around the world on the day of August 28th, rightfully initiating from the grounds where Abraham Lincoln sits silently and gravely, watching over this land from memorial erected to his memory. The U.S. is reminded it is not enough to hope together, to pray together; she is reminded she must speak and act for the common good.""",Speeches,
19:10,,"[Marchers sing ""We Shall Overcome""]",Music,
